year,month,route,destination_airport,total_flight_count,total_paid_passenger_count,carrier_count,lcc_carrier_count,lcc_share,passengers_per_flight
2023,10,ICN-KKJ,KKJ,0.0,9046.0,1,0,0.0,0
2023,10,ICN-KMI,KMI,0.0,3738.0,1,0,0.0,0
2023,10,ICN-KMJ,KMJ,0.0,9279.0,1,2,2.0,0
2023,10,ICN-KOJ,KOJ,0.0,728.0,1,0,0.0,0
2023,10,ICN-MYJ,MYJ,0.0,7261.0,1,2,2.0,0
2023,10,ICN-NGO,NGO,0.0,77446.0,4,2,0.5,0
2023,10,ICN-NRT,NRT,0.0,335423.0,11,12,1.0909,0
2023,10,ICN-OIT,OIT,0.0,4072.0,1,2,2.0,0
2023,10,ICN-OKA,OKA,0.0,48194.0,5,4,0.8,0
2023,10,ICN-OKJ,OKJ,0.0,512.0,1,0,0.0,0
2023,10,ICN-SDJ,SDJ,0.0,4307.0,1,0,0.0,0
2023,10,ICN-TAK,TAK,0.0,15012.0,1,4,4.0,0
2023,10,ICN-YGJ,YGJ,0.0,1046.0,1,4,4.0,0
2023,11,ICN-CTS,CTS,0.0,66100.0,6,4,0.6667,0
2023,11,ICN-FSZ,FSZ,0.0,10172.0,1,2,2.0,0
2023,11,ICN-FUK,FUK,0.0,261437.0,8,8,1.0,0
2023,11,ICN-HIJ,HIJ,0.0,8609.0,1,2,2.0,0
2023,11,ICN-HND,HND,0.0,17334.0,2,2,1.0,0
2023,11,ICN-KIJ,KIJ,0.0,2265.0,1,0,0.0,0
2023,11,ICN-KIX,KIX,0.0,357806.0,9,10,1.1111,0
2023,11,ICN-KKJ,KKJ,0.0,9108.0,1,0,0.0,0
2023,11,ICN-KMI,KMI,0.0,3783.0,1,0,0.0,0
2023,11,ICN-KMJ,KMJ,0.0,8836.0,1,2,2.0,0
2023,11,ICN-KOJ,KOJ,0.0,3456.0,1,0,0.0,0
2023,11,ICN-MYJ,MYJ,0.0,9749.0,1,2,2.0,0
2023,11,ICN-NGO,NGO,0.0,68711.0,4,2,0.5,0
2023,11,ICN-NRT,NRT,0.0,338072.0,11,10,0.9091,0
2023,11,ICN-OIT,OIT,0.0,4146.0,1,2,2.0,0
2023,11,ICN-OKA,OKA,0.0,51363.0,5,4,0.8,0
2023,11,ICN-OKJ,OKJ,0.0,2560.0,1,0,0.0,0
2023,11,ICN-SDJ,SDJ,0.0,4438.0,1,0,0.0,0
2023,11,ICN-TAK,TAK,0.0,11433.0,2,2,1.0,0
2023,11,ICN-YGJ,YGJ,0.0,4501.0,1,2,2.0,0
2023,12,ICN-CTS,CTS,0.0,103626.0,6,4,0.6667,0
2023,12,ICN-FSZ,FSZ,0.0,10420.0,1,2,2.0,0
2023,12,ICN-FUK,FUK,0.0,267190.0,8,10,1.25,0
2023,12,ICN-HIJ,HIJ,0.0,9557.0,1,2,2.0,0
2023,12,ICN-HND,HND,0.0,17699.0,2,2,1.0,0
2023,12,ICN-KIJ,KIJ,0.0,2487.0,1,0,0.0,0
2023,12,ICN-KIX,KIX,0.0,363167.0,10,15,1.5,0
2023,12,ICN-KKJ,KKJ,0.0,9983.0,1,0,0.0,0
2023,12,ICN-KMI,KMI,0.0,4305.0,1,0,0.0,0
2023,12,ICN-KMJ,KMJ,0.0,9372.0,1,2,2.0,0
2023,12,ICN-KOJ,KOJ,0.0,4348.0,1,0,0.0,0
2023,12,ICN-MYJ,MYJ,0.0,10778.0,1,2,2.0,0
2023,12,ICN-NGO,NGO,0.0,73057.0,4,2,0.5,0
2023,12,ICN-NRT,NRT,0.0,351793.0,11,10,0.9091,0
2023,12,ICN-OIT,OIT,0.0,4636.0,1,2,2.0,0
2023,12,ICN-OKA,OKA,0.0,55784.0,5,4,0.8,0
2023,12,ICN-OKJ,OKJ,0.0,3088.0,1,0,0.0,0
2023,12,ICN-SDJ,SDJ,0.0,4523.0,1,0,0.0,0
2023,12,ICN-TAK,TAK,0.0,11189.0,1,2,2.0,0
2023,12,ICN-YGJ,YGJ,0.0,5126.0,1,2,2.0,0
2024,1,ICN-AOJ,AOJ,0.0,1052.0,1,0,0.0,0
2024,1,ICN-CTS,CTS,0.0,127445.0,6,4,0.6667,0
2024,1,ICN-FSZ,FSZ,0.0,9620.0,1,2,2.0,0
2024,1,ICN-FUK,FUK,0.0,266193.0,8,10,1.25,0
2024,1,ICN-HIJ,HIJ,0.0,14888.0,1,2,2.0,0
2024,1,ICN-HND,HND,0.0,23629.0,3,2,0.6667,0
2024,1,ICN-KIJ,KIJ,0.0,2301.0,1,0,0.0,0
2024,1,ICN-KIX,KIX,0.0,362966.0,9,10,1.1111,0
2024,1,ICN-KKJ,KKJ,0.0,9067.0,1,0,0.0,0
2024,1,ICN-KMI,KMI,0.0,3960.0,1,0,0.0,0
2024,1,ICN-KMJ,KMJ,0.0,9260.0,1,2,2.0,0
2024,1,ICN-KOJ,KOJ,0.0,7187.0,1,0,0.0,0
2024,1,ICN-MYJ,MYJ,0.0,10313.0,1,2,2.0,0
2024,1,ICN-NGO,NGO,0.0,70510.0,4,2,0.5,0
2024,1,ICN-NRT,NRT,0.0,347392.0,11,10,0.9091,0
2024,1,ICN-OIT,OIT,0.0,7960.0,2,2,1.0,0
2024,1,ICN-OKA,OKA,0.0,56557.0,5,4,0.8,0
2024,1,ICN-OKJ,OKJ,0.0,2634.0,1,0,0.0,0
2024,1,ICN-SDJ,SDJ,0.0,5738.0,1,0,0.0,0
2024,1,ICN-TAK,TAK,0.0,10236.0,1,2,2.0,0
2024,1,ICN-YGJ,YGJ,0.0,4560.0,1,2,2.0,0
2024,2,ICN-AOJ,AOJ,0.0,2594.0,1,0,0.0,0
2024,2,ICN-CTS,CTS,0.0,120178.0,6,4,0.6667,0
2024,2,ICN-FSZ,FSZ,0.0,9405.0,1,2,2.0,0
2024,2,ICN-FUK,FUK,0.0,261884.0,8,8,1.0,0
2024,2,ICN-HIJ,HIJ,0.0,18523.0,1,2,2.0,0
2024,2,ICN-HND,HND,0.0,25404.0,3,2,0.6667,0
2024,2,ICN-KIJ,KIJ,0.0,2517.0,1,0,0.0,0
2024,2,ICN-KIX,KIX,0.0,357023.0,9,10,1.1111,0
2024,2,ICN-KKJ,KKJ,0.0,9415.0,1,0,0.0,0
2024,2,ICN-KMI,KMI,0.0,3593.0,1,0,0.0,0
2024,2,ICN-KMJ,KMJ,0.0,9419.0,1,2,2.0,0
2024,2,ICN-KOJ,KOJ,0.0,6774.0,1,0,0.0,0
2024,2,ICN-MYJ,MYJ,0.0,10002.0,1,2,2.0,0
2024,2,ICN-NGO,NGO,0.0,74776.0,4,2,0.5,0
2024,2,ICN-NRT,NRT,0.0,361800.0,12,10,0.8333,0
2024,2,ICN-OIT,OIT,0.0,10834.0,2,2,1.0,0
2024,2,ICN-OKA,OKA,0.0,52081.0,5,4,0.8,0
2024,2,ICN-OKJ,OKJ,0.0,2625.0,1,0,0.0,0
2024,2,ICN-SDJ,SDJ,0.0,6984.0,1,0,0.0,0
2024,2,ICN-TAK,TAK,0.0,10707.0,1,2,2.0,0
2024,2,ICN-YGJ,YGJ,0.0,4446.0,1,2,2.0,0
2024,3,ICN-AOJ,AOJ,0.0,2237.0,1,0,0.0,0
2024,3,ICN-CTS,CTS,0.0,76550.0,6,4,0.6667,0
2024,3,ICN-FSZ,FSZ,0.0,10464.0,1,2,2.0,0
2024,3,ICN-FUK,FUK,0.0,281898.0,8,8,1.0,0
2024,3,ICN-HIJ,HIJ,0.0,20246.0,1,2,2.0,0
2024,3,ICN-HND,HND,0.0,25747.0,3,2,0.6667,0
2024,3,ICN-KIJ,KIJ,0.0,2310.0,1,0,0.0,0
2024,3,ICN-KIX,KIX,0.0,376252.0,9,12,1.3333,0
2024,3,ICN-KKJ,KKJ,0.0,10358.0,1,0,0.0,0
2024,3,ICN-KMI,KMI,0.0,4572.0,1,0,0.0,0
2024,3,ICN-KMJ,KMJ,0.0,9947.0,1,2,2.0,0
2024,3,ICN-KOJ,KOJ,0.0,4838.0,1,0,0.0,0
2024,3,ICN-MYJ,MYJ,0.0,11023.0,1,2,2.0,0
2024,3,ICN-NGO,NGO,0.0,87974.0,4,2,0.5,0
2024,3,ICN-NRT,NRT,0.0,392799.0,12,12,1.0,0
2024,3,ICN-OIT,OIT,0.0,11278.0,2,2,1.0,0
2024,3,ICN-OKA,OKA,0.0,52229.0,5,4,0.8,0
2024,3,ICN-OKJ,OKJ,0.0,3578.0,1,0,0.0,0
2024,3,ICN-SDJ,SDJ,0.0,6969.0,1,0,0.0,0
2024,3,ICN-TAK,TAK,0.0,12017.0,1,2,2.0,0
2024,3,ICN-YGJ,YGJ,0.0,5001.0,1,2,2.0,0
2024,4,ICN-AOJ,AOJ,0.0,1946.0,1,0,0.0,0
2024,4,ICN-CTS,CTS,0.0,56320.0,6,4,0.6667,0
2024,4,ICN-FSZ,FSZ,0.0,9588.0,1,2,2.0,0
2024,4,ICN-FUK,FUK,0.0,259210.0,8,8,1.0,0
2024,4,ICN-HIJ,HIJ,0.0,15954.0,1,2,2.0,0
2024,4,ICN-HND,HND,0.0,23051.0,3,2,0.6667,0
2024,4,ICN-KIJ,KIJ,0.0,2096.0,1,0,0.0,0
2024,4,ICN-KIX,KIX,0.0,336914.0,9,10,1.1111,0
2024,4,ICN-KKJ,KKJ,0.0,9246.0,1,0,0.0,0
2024,4,ICN-KMI,KMI,0.0,3521.0,1,0,0.0,0
2024,4,ICN-KMJ,KMJ,0.0,9713.0,1,2,2.0,0
2024,4,ICN-KOJ,KOJ,0.0,2987.0,1,0,0.0,0
