year,route,origin,destination,flight_count,passenger_count,cargo_ton,passengers_per_flight,passenger_growth_rate,flight_growth_rate,cargo_growth_rate,avg_carrier_count,avg_lcc_share,avg_icn_total_flight_count,avg_icn_total_paid_passenger_count,avg_icn_passengers_per_flight,japan_country_passenger_count,japan_country_flight_count,japan_country_passenger_growth_rate,japan_country_flight_growth_rate,jpy_krw_rate,jpy_krw_change_rate_7d,jpy_krw_change_rate_30d,jpy_krw_change_rate_90d,holiday_count,holiday_names,demand_pressure_score,supply_pressure_score,exchange_pressure_score,competition_pressure_score,holiday_pressure_score,risk_score,risk_level,purchase_timing_recommendation,is_japan_route,japan_country_cargo_ton,japan_country_cargo_growth_rate,japan_country_passengers_per_flight
2024,인천(ICN)-아오모리(AOJ),인천(ICN),아오모리(AOJ),296.0,32595.0,401.0,110.12,1611.92,1544.44,1809.52,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,5,1,2,4,1,13,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-아오모리(AOJ),인천(ICN),아오모리(AOJ),314.0,41124.0,523.0,130.97,26.17,6.08,30.42,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,4,3,2,5,1,15,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2022,인천(ICN)-오끼나와(OKA),인천(ICN),오끼나와(OKA),201.0,26947.0,270.0,134.06,0.0,0.0,0.0,4.16,0.7993,0.0,32704.59,0.0,3009252.0,24200.0,0.0,0.0,953.18,-3.11,-0.12,-1.61,0.0,,2,4,1,3,1,11,낮음,대기 가능,True,319524.0,0.0,124.35
2023,인천(ICN)-오끼나와(OKA),인천(ICN),오끼나와(OKA),3575.0,573696.0,5998.0,160.47,2028.98,1678.61,2121.48,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,5,1,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
2024,인천(ICN)-오끼나와(OKA),인천(ICN),오끼나와(OKA),4065.0,720923.0,7745.0,177.35,25.66,13.71,29.13,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,4,3,2,4,1,14,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-오끼나와(OKA),인천(ICN),오끼나와(OKA),4499.0,858236.0,9378.0,190.76,19.05,10.68,21.08,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,3,3,2,5,1,14,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2023,인천(ICN)-요나고(YGJ),인천(ICN),요나고(YGJ),78.0,13183.0,110.0,169.01,0.0,0.0,0.0,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,2,4,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
2024,인천(ICN)-요나고(YGJ),인천(ICN),요나고(YGJ),312.0,52328.0,401.0,167.72,296.94,300.0,264.55,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,5,1,2,4,1,13,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-요나고(YGJ),인천(ICN),요나고(YGJ),466.0,76328.0,532.0,163.79,45.86,49.36,32.67,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,4,1,2,5,1,13,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2021,인천(ICN)-후쿠오카(FUK),인천(ICN),후쿠오카(FUK),146.0,8211.0,203.0,56.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.24,-1.38,-0.3,-3.71,0.0,,2,4,1,5,1,13,중간,가격 모니터링 후 구매,True,0.0,0.0,0.0
2022,인천(ICN)-후쿠오카(FUK),인천(ICN),후쿠오카(FUK),2753.0,425680.0,4523.0,154.62,5084.27,1785.62,2128.08,4.16,0.7993,0.0,32704.59,0.0,3009252.0,24200.0,0.0,0.0,953.18,-3.11,-0.12,-1.61,0.0,,5,1,1,3,1,11,낮음,대기 가능,True,319524.0,0.0,124.35
2023,인천(ICN)-후쿠오카(FUK),인천(ICN),후쿠오카(FUK),15720.0,2811886.0,28255.0,178.87,560.56,471.01,524.7,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,5,1,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
2024,인천(ICN)-후쿠오카(FUK),인천(ICN),후쿠오카(FUK),17198.0,3357275.0,37965.0,195.21,19.4,9.4,34.37,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,3,3,2,4,1,13,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-후쿠오카(FUK),인천(ICN),후쿠오카(FUK),17018.0,3445289.0,40669.0,202.45,2.62,-1.05,7.12,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,2,5,2,5,1,15,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2023,인천(ICN)-히로시마(HIJ),인천(ICN),히로시마(HIJ),222.0,33690.0,299.0,151.76,0.0,0.0,0.0,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,2,4,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
2024,인천(ICN)-히로시마(HIJ),인천(ICN),히로시마(HIJ),1354.0,206151.0,1815.0,152.25,511.91,509.91,507.02,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,5,1,2,4,1,13,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-히로시마(HIJ),인천(ICN),히로시마(HIJ),1256.0,186798.0,1736.0,148.72,-9.39,-7.24,-4.35,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,1,5,2,5,1,14,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
