year,airline_name,seat_supply,flight_count,passenger_count,cargo_ton,load_factor_proxy,passengers_per_flight,passenger_growth_rate,flight_growth_rate,seat_supply_growth_rate,is_lcc
2022,일본항공(JAL),105656.0,462.0,71632.0,2004.0,0.678,155.05,,,,False
2023,일본항공(JAL),423884.0,2191.0,362370.0,7722.0,0.8549,165.39,405.88,374.24,301.19,False
2024,일본항공(JAL),477249.0,2630.0,426973.0,19254.0,0.8947,162.35,17.83,20.04,12.59,False
2025,일본항공(JAL),483150.0,2752.0,429353.0,23971.0,0.8887,156.01,0.56,4.64,1.24,False
2026,일본항공(JAL),298934.0,1832.0,263114.0,15769.0,0.8802,143.62,-38.72,-33.43,-38.13,False
2024,장시항공(CJX),5152.0,28.0,3939.0,28.0,0.7646,140.68,,,,False
2024,장쑤징동화물항공(JDL),0.0,222.0,0.0,1888.0,0.0,0.0,,,,False
2025,장쑤징동화물항공(JDL),0.0,1042.0,0.0,10698.0,0.0,0.0,,369.37,,False
2026,장쑤징동화물항공(JDL),0.0,680.0,0.0,7110.0,0.0,0.0,,-34.74,,False
2022,전일본항공(ANA),74924.0,1040.0,61324.0,17965.0,0.8185,58.97,,,,False
2023,전일본항공(ANA),386357.0,2630.0,337289.0,21764.0,0.873,128.25,450.01,152.88,415.67,False
2024,전일본항공(ANA),452934.0,2708.0,397082.0,23553.0,0.8767,146.63,17.73,2.97,17.23,False
2025,전일본항공(ANA),470912.0,2800.0,423114.0,25274.0,0.8985,151.11,6.56,3.4,3.97,False
2026,전일본항공(ANA),326482.0,1854.0,298185.0,18557.0,0.9133,160.83,-29.53,-33.79,-30.67,False
2022,전체 합계,68293326.0,399207.0,55828355.0,3549792.0,0.8175,139.85,,,,False
2023,전체 합계,119678137.0,602363.0,100508691.0,3953921.0,0.8398,166.86,80.03,50.89,75.24,False
2024,전체 합계,140930829.0,705869.0,120058371.0,4395306.0,0.8519,170.09,19.45,17.18,17.76,False
2025,전체 합계,146943765.0,730871.0,124793082.0,4468752.0,0.8493,170.75,3.94,3.54,4.27,False
2026,전체 합계,100886725.0,503276.0,88003828.0,3114363.0,0.8723,174.86,-29.48,-31.14,-31.34,False
2022,제주항공(JJA),8840343.0,47781.0,7946106.0,51769.0,0.8988,166.3,,,,True
2023,제주항공(JJA),13698780.0,74122.0,12309005.0,119969.0,0.8985,166.06,54.91,55.13,54.96,True
